ClassCode,ClassName,ProductCode,ProductName
102019,Rosales vivos rosado claro,10201941,Rosal vivo pink finess
102019,Rosales vivos rosado claro,10201942,Rosal vivo pink magic
102019,Rosales vivos rosado claro,10201943,Rosal vivo pink osiana
102019,Rosales vivos rosado claro,10201944,Rosal vivo pretty woman
102019,Rosales vivos rosado claro,10201945,Rosal vivo romance
102019,Rosales vivos rosado claro,10201946,Rosal vivo romantic antike o antique
102019,Rosales vivos rosado claro,10201947,Rosal vivo rosalind o astew
102019,Rosales vivos rosado claro,10201948,Rosal vivo rosita vendela
102019,Rosales vivos rosado claro,10201949,Rosal vivo secret garden
102019,Rosales vivos rosado claro,10201950,Rosal vivo solaire
102019,Rosales vivos rosado claro,10201951,Rosal vivo sophie
102019,Rosales vivos rosado claro,10201952,Rosal vivo sweet akito
102019,Rosales vivos rosado claro,10201953,Rosal vivo sweet avalanche
102019,Rosales vivos rosado claro,10201954,Rosal vivo sweet elegance
102019,Rosales vivos rosado claro,10201955,Rosal vivo sweet pink
102019,Rosales vivos rosado claro,10201956,Rosal vivo titanic
102019,Rosales vivos rosado claro,10201957,Rosal vivo toscanini
102019,Rosales vivos rosado claro,10201958,Rosal vivo vania
102019,Rosales vivos rosado claro,10201959,Rosal vivo vanity
102019,Rosales vivos rosado claro,10201960,Rosal vivo vision
102019,Rosales vivos rosado claro,10201961,Rosal vivo vivaldi
102019,Rosales vivos rosado claro,10201962,Rosal vivo whisper
102020,Rosales vivos multicolor rosados,10202001,Rosal vivo attracta
102020,Rosales vivos multicolor rosados,10202002,Rosal vivo boheme
102020,Rosales vivos multicolor rosados,10202003,Rosal vivo carousel
102020,Rosales vivos multicolor rosados,10202004,Rosal vivo cezanne
102020,Rosales vivos multicolor rosados,10202005,Rosal vivo crazy one
102020,Rosales vivos multicolor rosados,10202006,Rosal vivo dance valley
102020,Rosales vivos multicolor rosados,10202007,Rosal vivo duett
102020,Rosales vivos multicolor rosados,10202008,Rosal vivo esperance
102020,Rosales vivos multicolor rosados,10202009,Rosal vivo fiesta
102020,Rosales vivos multicolor rosados,10202010,Rosal vivo halloween
102020,Rosales vivos multicolor rosados,10202011,Rosal vivo highlander
102020,Rosales vivos multicolor rosados,10202012,Rosal vivo hot ambiance
102020,Rosales vivos multicolor rosados,10202013,Rosal vivo la belle
102020,Rosales vivos multicolor rosados,10202014,Rosal vivo laguna
102020,Rosales vivos multicolor rosados,10202015,Rosal vivo latin ambiance
102020,Rosales vivos multicolor rosados,10202016,Rosal vivo latin breeze
102020,Rosales vivos multicolor rosados,10202017,Rosal vivo long arifa
102020,Rosales vivos multicolor rosados,10202018,Rosal vivo murano
102020,Rosales vivos multicolor rosados,10202019,Rosal vivo n-joy rose
102020,Rosales vivos multicolor rosados,10202020,Rosal vivo panama
